???,???,?ID,????,?????,?????
2020-12,5??,405,???,"139,709","141,521"
2020-12,5??,406,???(?????),"100,838","102,056"
2020-12,5??,407,???,"375,687","381,704"
2020-12,5??,408,???(??????),"601,897","616,216"
2020-12,5??,409,??3?,"209,952","208,373"
2020-12,5??,410,???4?,"130,218","132,667"
2020-12,5??,411,?????????(DDP),"60,762","68,716"
2020-12,5??,412,??,"87,658","81,229"
2020-12,5??,413,???,"131,594","137,984"
2020-12,5??,414,??,"175,564","157,669"
2020-12,5??,415,???(????),"97,142","104,767"
2020-12,5??,416,??,"122,855","116,876"
2020-12,5??,417,???,"351,903","326,258"
2020-12,5??,418,???,"395,634","394,230"
2020-12,5??,419,??(??),"241,385","259,659"
2020-12,5??,420,???(????????),"318,776","318,295"
2020-12,5??,421,???(???),"278,067","256,609"
2020-12,5??,422,??(????),"404,733","402,808"
2020-12,5??,423,??,"427,066","400,421"
2020-12,5??,424,??,"172,532","181,230"
2020-12,5??,425,????(???????),"205,760","196,927"
2020-12,5??,426,??,"177,509","183,761"
2020-12,5??,427,??,"183,902","183,406"
2020-12,5??,428,???,"335,398","307,234"
2020-12,5??,429,???,"181,448","183,457"
2020-12,5??,430,?????(????),"86,724","74,241"
2020-12,5??,431,??,"144,580","148,693"
2020-12,5??,432,??,"80,026","77,657"
2020-12,5??,433,??,"133,502","140,749"
2020-12,5??,434,??,"170,769","164,609"
2020-12,5??,435,??,"131,704","133,781"
2020-12,5??,436,??,"284,891","283,932"
2020-12,5??,437,????,"105,815","107,058"
2020-12,6??,438,??,"391,095","392,437"
2020-12,6??,439,??,"82,991","96,247"
2020-12,6??,440,??,"101,254","101,810"
2020-12,6??,441,???,"62,221","68,715"
2020-12,6??,442,???,9,0
2020-12,6??,443,??,"160,256","125,311"
2020-12,6??,444,??(??),"283,395","267,404"
2020-12,6??,445,??(????),"226,494","225,312"
2020-12,6??,446,????????,"292,245","316,476"
2020-12,6??,447,??????(??),"100,026","103,749"
2020-12,6??,448,????,"305,802","278,143"
2020-12,6??,449,??,"297,478","323,341"
2020-12,6??,450,??,"262,359","255,280"
2020-12,6??,451,??,"158,340","171,692"
2020-12,6??,452,???(??),"181,910","176,978"
2020-12,6??,453,??(????),"164,688","169,002"
2020-12,6??,454,??,"376,513","363,786"
2020-12,6??,455,?????,"151,891","138,326"
2020-12,6??,456,???,"113,614","99,967"
2020-12,6??,457,???(????),"95,994","94,512"
2020-12,6??,458,???,"187,658","192,786"
2020-12,6??,459,???,"141,749","160,769"
2020-12,6??,460,????,"48,288","47,145"
2020-12,6??,461,??,"76,597","77,310"
2020-12,6??,462,??,"82,996","88,539"
2020-12,6??,463,??,"169,606","176,806"
2020-12,6??,464,???,"186,468","186,580"
2020-12,6??,465,??,"76,002","62,311"
2020-12,6??,466,??,"159,268","147,875"
2020-12,6??,467,??(?????),"198,779","196,044"
2020-12,6??,468,???(??),"164,476","159,852"
2020-12,6??,469,??(????),"242,348","242,607"
2020-12,6??,470,???(?????????),"137,601","123,326"
2020-12,6??,471,???,"189,446","178,612"
2020-12,6??,472,??,"273,733","280,073"
2020-12,6??,473,????,"115,378","125,292"
2020-12,6??,474,???(??????),"238,002","190,245"
2020-12,6??,475,???(?????),"192,764","181,670"
2020-12,6??,476,??,3,0
2020-12,7??,477,??,"50,545","21,337"
2020-12,7??,478,???,"199,861","245,086"
2020-12,7??,479,???,"285,490","287,380"
2020-12,7??,480,??,"269,675","261,389"
2020-12,7??,481,??,"419,937","435,578"
2020-12,7??,482,??,"311,479","284,800"
2020-12,7??,483,??,"381,231","365,185"
2020-12,7??,484,??(???????),"254,113","253,290"
2020-12,7??,485,????,"178,372","165,062"
2020-12,7??,486,??,"229,412","225,756"
2020-12,7??,487,??,"248,990","246,011"
2020-12,7??,488,??(???????),"380,228","361,276"
2020-12,7??,489,??,"349,815","347,827"
2020-12,7??,490,???,"375,431","376,520"
2020-12,7??,491,???(??????),"135,671","132,260"
2020-12,7??,492,??,"224,515","214,382"
2020-12,7??,493,??(??),"323,079","259,319"
2020-12,7??,494,??????(???),"259,578","253,221"
2020-12,7??,495,????,"277,622","276,295"
2020-12,7??,496,?????,"156,810","154,846"
2020-12,7??,497,??,"421,667","459,608"
2020-12,7??,498,????,"343,208","371,279"
2020-12,7??,499,??,"509,946","535,973"
2020-12,7??,500,??,"426,648","459,558"
2020-12,7??,501,??,"125,931","121,663"
2020-12,7??,502,?????,"329,510","285,620"
2020-12,7??,503,??,"310,570","313,327"
2020-12,7??,504,??,"330,216","322,333"
2020-12,7??,505,??,"249,504","234,229"
2020-12,7??,506,?????(???),"258,098","262,654"
2020-12,7??,507,??,"229,110","223,200"
2020-12,7??,508,????,"218,546","213,778"
2020-12,7??,509,??????,"366,748","358,007"
2020-12,7??,510,???,"212,200","209,700"
2020-12,7??,511,??,"257,053","248,025"
2020-12,7??,512,??(????),"184,190","184,463"
2020-12,7??,513,???,"365,412","386,972"
2020-12,7??,514,???????,"986,255","978,740"
2020-12,7??,515,??,"465,222","474,667"
2020-12,7??,516,?????,"516,215","515,666"
2020-12,7??,517,??,"236,652","226,163"
2020-12,7??,518,??(??????),"232,248","215,910"
2020-12,7??,519,???,"163,822","160,593"
2020-12,7??,520,???????,"100,953","88,853"
2020-12,7??,521,??,"218,793","215,902"
2020-12,7??,522,???,"309,232","302,852"
2020-12,7??,523,????,"269,944","269,493"
2020-12,7??,524,??,"263,293","272,386"
2020-12,7??,525,?????,"100,836","91,567"
2020-12,7??,526,???,"189,529","201,073"
2020-12,7??,527,????,"251,119","211,086"
2020-12,8??,528,??,"415,946","376,769"
2020-12,8??,529,??(????),"349,876","392,458"
2020-12,8??,530,????,"226,600","238,292"
2020-12,8??,531,????(????),"120,558","124,523"
2020-12,8??,532,??(????),"306,406","339,004"
2020-12,8??,533,??,"165,726","189,246"
2020-12,8??,534,??,"170,704","172,215"
2020-12,8??,535,????,"177,822","198,205"
2020-12,8??,536,??,"450,340","470,061"
2020-12,8??,537,??,"379,841","375,424"
2020-12,8??,538,??,"224,027","196,976"
2020-12,8??,539,??,"153,182","153,941"
2020-12,8??,540,??????(????.???),"304,066","280,706"
2020-12,8??,541,?????,"228,525","221,264"
2020-12,8??,542,??,"104,159","111,874"
2020-12,8??,543,??,"116,835","106,563"
2020-12,8??,544,??,"98,665","74,110"
2020-12,9??,602,??,"52,557","39,974"
2020-12,9??,603,????,"161,724","225,843"
2020-12,9??,604,????,"63,561","70,058"
2020-12,9??,605,???,"145,288","143,509"
2020-12,9??,606,????(?????),"219,290","219,452"
2020-12,9??,607,????,"197,950","203,577"
2020-12,9??,608,??,"433,180","426,597"
2020-12,9??,609,??,"155,504","158,208"
2020-12,9??,610,??,"234,336","233,812"
2020-12,9??,611,??,"361,703","359,178"
2020-12,9??,612,???,"78,184","71,764"
2020-12,9??,613,???,"156,526","152,149"
2020-12,9??,614,??,"371,955","365,691"
2020-12,9??,615,?????,"317,847","315,131"
2020-12,9??,616,???,"455,386","435,728"
2020-12,9??,617,??,"111,677","115,171"
2020-12,9??,618,???,"514,505","502,539"
2020-12,9??,619,??,"94,222","84,061"
2020-12,9??,620,??(?????),"166,412","171,746"
2020-12,9??,621,??(???),"36,016","28,233"
2020-12,9??,622,???,"56,014","58,255"
2020-12,9??,623,???,"62,005","61,522"
2020-12,9??,624,?????,"238,151","309,015"
2020-12,9??,625,??,"62,512","62,584"
2020-12,9??,626,???,"627,660","612,884"
2020-12,???? 1??,640,???,"142,717","130,482"
2020-12,???? 1??,641,??,"44,818","58,190"
2020-12,???? 1??,642,????,"162,033","164,011"
2020-12,???? 1??,643,????????,"268,270","241,858"
2020-12,???? 1??,644,????(?????),"137,662","132,736"
2020-12,???? 1??,645,????,"227,467","145,900"
2020-12,???? 1??,646,??,"197,411","185,902"
2020-12,???? 1??,647,??,"152,699","150,196"
2020-12,???? 1??,648,??????,"133,619","125,081"
2020-12,???? 1??,649,??,"137,053","139,077"
2020-12,???? 1??,650,??????,"55,629","60,387"
2020-12,???? 1??,651,????1???,"86,716","93,178"
2020-12,???? 1??,652,????2???,"49,697","47,869"
2020-12,???? 1??,653,??,"60,554","61,706"
2020-12,9??2~3??,627,??,"207,814","208,033"
2020-12,9??2~3??,628,???,"189,166","203,298"
2020-12,9??2~3??,629,????,"136,492","139,992"
2020-12,9??2~3??,630,???,"314,359","314,023"
2020-12,9??2~3??,631,?????,"85,535","83,550"
2020-12,9??2~3??,632,??,"141,955","138,758"
2020-12,9??2~3??,633,????,"122,923","123,984"
2020-12,9??2~3??,634,??,"162,039","143,093"
2020-12,9??2~3??,635,????,"94,934","99,433"
2020-12,9??2~3??,636,????,"49,693","45,005"
2020-12,9??2~3??,637,?????(????),"108,271","108,289"
2020-12,9??2~3??,638,????,"23,336","20,586"
2020-12,9??2~3??,639,??????,"196,931","175,864"
2020-12,?????,697,?????,"60,026","56,145"
2020-12,?????,698,????,"52,704","52,113"
2020-12,?????,699,4.19????,"62,349","59,591"
2020-12,?????,700,???,"88,094","88,898"
2020-12,?????,701,??,"75,064","71,032"
2020-12,?????,702,??,"45,422","50,231"
2020-12,?????,703,?????,"53,926","55,512"
2020-12,?????,704,??,"121,250","115,049"
2020-12,?????,705,??????,"126,781","124,337"
2020-12,?????,706,??,"96,501","92,058"
2020-12,?????,707,??????(??),"65,933","71,709"
2020-12,?????,708,??,"33,909","34,610"
2020-12,?????,709,???,"50,154","47,806"
